County,Crop,Target,Model,R2_Train,R2_Test,RMSE_Train,RMSE_Test,MAE_Train,MAE_Test
Alameda,GRAPES WINE,Yield Per Acre,KNN,0.2131047379067329,-1.7225905066089098,0.0005045351697809692,0.0004271816327263628,0.00041734619162,0.00032234360041555565
Alameda,GRAPES WINE,Yield Per Acre,DecisionTree,0.988826426217755,-3.848574003809574,6.0121392435074375e-05,0.000570070309662325,3.150221212083335e-05,0.00047601986489629624
Alameda,GRAPES WINE,Yield Per Acre,GradientBoosting,0.9922305485027004,-2.937352733740795,5.01335155260034e-05,0.0005137165652119036,3.9523469997460094e-05,0.0004631656095716965
Alameda,GRAPES WINE,Production Per Acre,KNN,0.1942359598691995,-3.9045644059455578,0.7925801228080336,1.3827146879494638,0.62181751943125,1.2084918550444443
Alameda,GRAPES WINE,Production Per Acre,DecisionTree,0.8260800443715212,-4.009438862529125,0.36822557037768927,1.3974198097849297,0.261983832625,1.250716088925926
Alameda,GRAPES WINE,Production Per Acre,GradientBoosting,0.9951891148856568,-3.2042240426961515,0.06124233327474587,1.2801925069915625,0.05090125939566371,1.073060855369229
El Dorado,GRAPES WINE,Yield Per Acre,KNN,0.4206659095283888,-28.97573127771317,0.007796219972598128,0.0004943082537928283,0.003135165408361539,0.00046449863015714287
El Dorado,GRAPES WINE,Yield Per Acre,DecisionTree,0.9999012356813106,-125.48714207634389,0.00010179339003519494,0.0010153976613695003,5.258442861965815e-05,0.0005806932702238097
El Dorado,GRAPES WINE,Yield Per Acre,GradientBoosting,0.9999421776319233,-786.8441542918262,7.788744881234332e-05,0.002534154723359074,6.051685133419267e-05,0.0017732111686540836
El Dorado,GRAPES WINE,Production Per Acre,KNN,0.43947565193837,0.009554679734748661,0.5975564621291617,0.08759105047771219,0.4572613189230769,0.08113787665714282
El Dorado,GRAPES WINE,Production Per Acre,DecisionTree,0.9994547598359873,-9.930460656460856,0.018636983731059313,0.29098038580825253,0.006943884615384626,0.2294832823571428
El Dorado,GRAPES WINE,Production Per Acre,GradientBoosting,0.9997413736450932,-12.985464528343796,0.012835656777986038,0.3291417172838773,0.010510798546247181,0.27321102644115636
Fresno,ALMONDS ALL,Yield Per Acre,KNN,0.5526856723879028,-8.758292441859824,5.361817066070047e-06,4.671002557148614e-06,4.084250000000001e-06,4.454666666666667e-06
Fresno,ALMONDS ALL,Yield Per Acre,DecisionTree,0.9944485790516387,-25.751845196222753,5.973208413407319e-07,7.733926880957694e-06,3.8437499999999976e-07,5.355e-06
Fresno,ALMONDS ALL,Yield Per Acre,GradientBoosting,0.9997580422403981,-16.894422849904146,1.247025589435222e-07,6.325313253357429e-06,1.0460655121358515e-07,5.82056119265737e-06
Fresno,ALMONDS ALL,Production Per Acre,KNN,0.6315306983071114,-0.30421419590277554,0.15435798039406495,0.12932359838586654,0.12978813899437497,0.1025808413933334
Fresno,ALMONDS ALL,Production Per Acre,DecisionTree,0.9823720492172845,-7.554590877936967,0.03376209182058353,0.3312096188093422,0.017263226884895837,0.2990991356
Fresno,ALMONDS ALL,Production Per Acre,GradientBoosting,0.999640465197535,-2.256889731207002,0.004821685725784761,0.20436421251607337,0.004143103141664899,0.16804366125282225
Fresno,GRAPES WINE,Yield Per Acre,KNN,0.5316283051436492,-0.1311082327750257,4.9642912686053067e-05,4.660946476530423e-05,3.861748209250001e-05,4.2325664008888894e-05
Fresno,GRAPES WINE,Yield Per Acre,DecisionTree,0.9846703719709322,-2.8558438510410737,8.981062993412066e-06,8.605611839771949e-05,5.580204406666671e-06,6.79855211674074e-05
Fresno,GRAPES WINE,Yield Per Acre,GradientBoosting,0.9995118012709461,-1.015554557602186,1.602729594726939e-06,6.221846798577691e-05,1.3667147310268575e-06,5.255232491550376e-05
Fresno,GRAPES WINE,Production Per Acre,KNN,0.44898053063497023,0.15351042171067764,1.4614723469546282,1.175847189545754,1.1515858991124999,0.950634061333333
Fresno,GRAPES WINE,Production Per Acre,DecisionTree,0.9911832122812199,-12.191432060745594,0.18486824673279528,4.6417960029500085,0.11299836791666679,4.097587307777778
Fresno,GRAPES WINE,Production Per Acre,GradientBoosting,0.9988781772501504,-5.308403640259335,0.06594308362373948,3.2099614332918986,0.0551092645296736,2.80832850631974
