Year,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon,high_temp_days,low_temp_days,heavy_rain_days,snow_days,high_wind_days,low_visibility_days,cloudy_days
1983,Los Angeles,34.054908,-118.242643,67.47866324,,56.70455251,67.62454338,64.9083242,69.54635502,1013.678539,,,71.04646119,4.182239726,168.1480594,,1.103436242,,,,39.04121005,800,Clear,sky is clear,01d,57,35,15,0,78,0,60
1983,Palm Springs,33.830296,-116.545292,70.31325,,50.08780023,69.48937671,67.67261986,74.14685046,1012.903995,,,53.81347032,4.446531963,229.8808219,,0.7413715278,,,,34.67305936,800,Clear,sky is clear,01d,15,41,11,0,13,0,92
1983,Riverside,33.980601,-117.375494,63.85703653,,52.76916553,63.42037557,62.19682306,65.55405251,1013.869863,,,70.25924658,3.080987443,174.6444064,,0.8955360281,,,,42.78527397,800,Clear,sky is clear,01d,33,34,12,0,2,0,85
1983,San Francisco,37.774929,-122.419415,58.84455023,,52.93039384,58.06865982,57.48487443,60.19919521,1014.664954,,,81.56118721,9.371518265,235.0318493,,0.8664850746,,,,54.025,800,Clear,sky is clear,01d,53,25,18,0,71,0,54
1983,South Lake Tahoe,38.939926,-119.977187,41.88817694,,32.55725342,39.19561986,39.91922717,43.84594635,1015.364498,,,72.44440639,4.297415525,199.3109589,,0.7061023622,,0.7922540666,,54.60296804,800,Clear,sky is clear,01d,17,35,20,19,11,0,78
1984,Eureka,40.802071,-124.163673,53.06007049,8732.914923,48.59792951,51.4699477,50.92298692,55.29992837,1017.749517,,,85.09880614,9.385530415,229.9565662,,0.8264071856,,,,53.17123366,711,Smoke,smoke,50d,25,33,13,0,53,38,28
1984,Fresno,36.737798,-119.787125,64.82965401,8874.658988,47.42676072,63.70895197,63.71456276,65.95197738,1014.492442,,,58.07490763,5.46742806,234.1957228,25.84921053,0.7153304904,,,,33.97111186,804,Clouds,overcast clouds,04d,61,44,3,0,35,49,32
1984,Los Angeles,34.054908,-118.242643,69.01863957,,54.95867714,69.16049636,66.27398679,71.17766963,1013.60929,,,64.21106557,4.261429872,162.6321721,,0.6903942652,,,,31.11680328,803,Clouds,broken clouds,04d,92,36,1,0,77,0,30
1984,Palm Springs,33.830296,-116.545292,71.4452263,9688.297872,48.28338764,70.89110772,68.67780493,75.32903372,1013.116542,,,48.44331297,4.809538357,213.7446255,30.92135135,0.678490566,,,,32.00961756,804,Clouds,overcast clouds,04d,20,44,8,0,26,21,68
1984,Riverside,33.980601,-117.375494,65.26766447,7200,50.41699294,64.67522991,63.66959709,66.89139313,1013.756203,,,62.32824949,3.190604371,170.483155,,0.57102,,,,34.40052356,804,Clouds,overcast clouds,04d,58,39,6,0,4,2,29
1984,San Francisco,37.774929,-122.419415,58.11247268,,51.6816826,57.14075137,56.67483948,59.53989071,1016.104394,,,80.21516393,8.908428962,244.0553279,,0.746446281,,,,44.52459016,800,Clear,sky is clear,01d,48,41,7,0,61,0,31
1984,South Lake Tahoe,38.939926,-119.977187,42.39606301,9440.774487,30.80384859,39.61493314,40.33483001,44.73525499,1016.94549,,,67.38825929,4.653176564,180.4298504,30.19748201,0.5473362445,,0.6793188406,,46.35936083,804,Clouds,overcast clouds,04d,30,41,6,8,21,26,34
1985,Eureka,40.802071,-124.163673,51.93849259,8214.075993,47.50679475,50.11033181,49.73060661,54.3437081,1018.098974,,,85.22474344,8.073083238,224.518016,,0.6668680297,,,,51.56830103,800,Clear,sky is clear,01d,17,66,9,0,36,58,27
1985,Fresno,36.737798,-119.787125,63.04510096,8522.458062,47.2734945,61.95390397,61.98874916,64.10177249,1014.941665,,,60.63136639,4.885999551,228.1428091,24.70774194,0.7601188119,,,,32.43515818,721,Haze,haze,50d,29,67,4,0,15,61,33
1985,Los Angeles,34.054908,-118.242643,67.03163242,,53.75749429,66.76146005,64.17259475,69.29701712,1014.723516,,,65.7576484,4.256650685,163.8034247,,0.7281560284,,,,32.6359589,800,Clear,sky is clear,01d,53,50,2,0,80,0,31
1985,Palm Springs,33.830296,-116.545292,70.13715846,9365.243902,45.8846559,68.72042202,67.44225003,73.89767489,1013.820498,,,47.35286088,4.816554431,227.4397679,28.11,0.5232212885,,,,29.78409737,800,Clear,sky is clear,01d,26,58,2,0,14,27,76
1985,Riverside,33.980601,-117.375494,63.36460731,,49.05486758,62.44464041,61.74962785,64.99059247,1014.798174,,,63.47431507,3.318123288,170.0997717,,0.5570636215,,,,33.64657534,800,Clear,sky is clear,01d,35,52,6,0,9,0,50
1985,San Francisco,37.774929,-122.419415,56.57359247,,50.51394977,55.32860845,55.15457763,58.00209132,1016.562329,,,81.14109589,8.287616438,235.359589,,0.7517291667,,,,47.32659817,800,Clear,sky is clear,01d,32,83,4,0,33,0,32
1985,South Lake Tahoe,38.939926,-119.977187,41.42748721,9281.11824,29.98381975,38.75767019,39.30237868,43.73316059,1017.408228,,,67.80918286,4.431574043,177.2170701,30.24959184,0.4699182561,,0.8206233062,,42.41834299,800,Clear,sky is clear,01d,36,71,4,11,19,30,30
1986,Eureka,40.802071,-124.163673,53.99459836,8342.825444,49.80089799,52.82846189,51.80653925,56.35923665,1016.801461,,,86.11775445,8.633911456,223.9499087,,0.8871353826,,,,58.54301689,701,Mist,mist,50d,9,2,13,0,45,45,39
1986,Fresno,36.737798,-119.787125,64.51920203,8385.007123,49.16837254,63.53351829,63.56155993,65.52694766,1014.738998,,,61.46268993,5.019413618,229.5184018,22.0828,1.056323024,,,,33.28081035,701,Mist,mist,50d,18,24,8,0,21,52,45
1986,Los Angeles,34.054908,-118.242643,67.89293493,,55.90347032,67.91304795,64.89482192,70.23007306,1014.715868,,,68.59212329,4.080518265,162.4038813,,0.9804255319,,,,34.57625571,804,Clouds,overcast clouds,04d,43,16,5,0,58,0,47
1986,Palm Springs,33.830296,-116.545292,71.67573588,9619.270073,46.66923173,70.52666667,68.96574611,75.47488465,1013.857938,,,46.10478463,4.687465621,224.0107967,28.4,0.6396923077,,,,30.06784862,804,Clouds,overcast clouds,04d,17,17,9,0,16,20,73
1986,Riverside,33.980601,-117.375494,64.49687058,4533.333333,50.98705547,63.79799817,62.82496576,66.13183748,1014.786122,,,65.0844556,3.126116184,172.7316823,,0.7941896552,,,,34.42216389,804,Clouds,overcast clouds,04d,22,17,7,0,1,3,55
1986,San Francisco,37.774929,-122.419415,58.03439612,,52.65182306,57.28219749,56.66430822,59.40356735,1016.176484,,,83.2152968,8.329875571,239.0349315,,0.9166945607,,,,52.14269406,802,Clouds,scattered clouds,03d,16,24,7,0,47,0,35
1986,South Lake Tahoe,38.939926,-119.977187,44.00319859,9512.479201,31.32482571,41.25229136,42.14810605,45.95590099,1016.723856,,,65.21062791,4.80058022,182.2342455,30.57300971,0.9111704312,,0.7983206107,,43.57374815,802,Clouds,scattered clouds,03d,47,17,12,9,30,18,40
1987,Eureka,40.802071,-124.163673,54.11733151,8368.371361,49.29968754,52.66672026,51.80181549,56.61158627,1017.04687,,,84.26422625,9.076389554,226.8599612,,0.8843536932,,,,56.45022237,802,Clouds,scattered clouds,03d,23,25,16,0,58,56,35
1987,Fresno,36.737798,-119.787125,63.87895472,9021.649832,48.50488624,62.73353909,62.89129421,64.86451453,1014.632575,,,61.44075242,4.971843884,229.1736878,23.39190476,0.7802146691,,,,34.54314035,801,Clouds,few clouds,02d,15,52,6,0,6,31,35
1987,Los Angeles,34.054908,-118.242643,67.19440753,,54.72172945,67.02215297,64.33445662,69.47146918,1014.52032,,,67.61552511,4.256538813,167.8317352,,0.7441019417,,,,36.37534247,804,Clouds,overcast clouds,04d,40,50,4,0,74,0,44
1987,Palm Springs,33.830296,-116.545292,70.61887282,9855.364238,46.1375316,69.26394626,67.8994922,74.44814414,1013.707959,,,46.92770124,4.80270978,219.2416031,30.16333333,0.6687559809,,,,31.11237618,803,Clouds,broken clouds,04d,13,53,7,0,20,15,69
1987,Riverside,33.980601,-117.375494,63.56457948,5828.571429,49.86582449,62.77522424,61.9466039,65.18487504,1014.585872,,,64.82802693,3.237021568,173.5143216,,0.6452584934,,,,37.31267831,804,Clouds,overcast clouds,04d,16,54,7,0,7,3,52
1987,San Francisco,37.774929,-122.419415,57.91828311,,51.76802397,56.94414041,56.57062329,59.25609703,1016.17363,,,80.93356164,8.512004566,235.5841324,,0.7751894563,,,,51.05205479,804,Clouds,overcast clouds,04d,30,47,6,0,50,0,33
