County,Crop,Target,Model,R2,RMSE,MAE
Mendocino,GRAPES WINE,Production Per Acre,DecisionTree,-2.591892077240735,0.9190976625886446,0.6750057001296298
Mendocino,GRAPES WINE,Production Per Acre,GradientBoosting,-1.817305043748209,0.762466137302071,0.6547739342683943
Napa,GRAPES WINE,Yield Per Acre,KNN,-5.47133973388229,3.211966202240021e-05,2.8819220186e-05
Napa,GRAPES WINE,Yield Per Acre,DecisionTree,-4.780720274426064,3.200403617993421e-05,2.68779432225e-05
Napa,GRAPES WINE,Yield Per Acre,GradientBoosting,-5.139123411788328,3.138404325122238e-05,2.806685508177071e-05
Napa,GRAPES WINE,Production Per Acre,KNN,-0.5956205120422352,0.6139274655222353,0.5400563357866667
Napa,GRAPES WINE,Production Per Acre,DecisionTree,-1.8387591423077876,0.8517110441701342,0.6775508051733334
Napa,GRAPES WINE,Production Per Acre,GradientBoosting,-1.3685103728734556,0.729647243855938,0.6205116298683756
Riverside,GRAPES WINE,Yield Per Acre,KNN,-0.3837819435176793,0.0008529527678059794,0.0006194018972373334
Riverside,GRAPES WINE,Yield Per Acre,DecisionTree,-1.4002236014824252,0.0011206486142332115,0.0009514563983844445
Riverside,GRAPES WINE,Yield Per Acre,GradientBoosting,-0.7861948536099997,0.0009957783850787795,0.0007666353781529582
Riverside,GRAPES WINE,Production Per Acre,KNN,-1.3549448132836668,1.6103318950120717,1.3456725689200004
Riverside,GRAPES WINE,Production Per Acre,DecisionTree,-2.446443199887678,2.1427276343563073,1.7906175193812495
Riverside,GRAPES WINE,Production Per Acre,GradientBoosting,-1.5063263039177943,1.7194049483618024,1.42014240266963
Santa Clara,GRAPES WINE,Yield Per Acre,KNN,-0.6452472486719683,0.00039634034508198313,0.0003233894266888889
Santa Clara,GRAPES WINE,Yield Per Acre,DecisionTree,-1.5359711878833926,0.0004722979173042981,0.00042594687942592587
Santa Clara,GRAPES WINE,Yield Per Acre,GradientBoosting,-1.12528038238187,0.00044102669994795546,0.00033553835039836486
Santa Clara,GRAPES WINE,Production Per Acre,KNN,-0.8404756411677811,0.7041955030626283,0.560036704837037
Santa Clara,GRAPES WINE,Production Per Acre,DecisionTree,-1.9312954441003418,0.8083180014605933,0.7762049792098766
Santa Clara,GRAPES WINE,Production Per Acre,GradientBoosting,-1.7097627644652869,0.8241856028106614,0.6426054201762323
Santa Clara,TOMATOES PROCESSING,Yield Per Acre,KNN,-0.6891193656254346,0.052134074003549136,0.038241821381155554
Santa Clara,TOMATOES PROCESSING,Yield Per Acre,DecisionTree,-2.0574662187936332,0.07051343127048691,0.053515021294666676
Santa Clara,TOMATOES PROCESSING,Yield Per Acre,GradientBoosting,-0.8956869627714906,0.057327475713365134,0.03562126192648501
Santa Clara,TOMATOES PROCESSING,Production Per Acre,KNN,-8.591372066642535,12.713840099884493,11.204668293777777
Santa Clara,TOMATOES PROCESSING,Production Per Acre,DecisionTree,-7.007734144287181,12.31504173346594,9.254349764444445
Santa Clara,TOMATOES PROCESSING,Production Per Acre,GradientBoosting,-3.8892552073572317,10.656742326720883,9.397910044896863
Sonoma,GRAPES WINE,Yield Per Acre,KNN,-11.11137659591506,3.5143274193233574e-05,3.177685071266667e-05
Sonoma,GRAPES WINE,Yield Per Acre,DecisionTree,-11.773530130535818,3.462300537119471e-05,3.563217492e-05
