month,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon,high_temp_days,low_temp_days,heavy_rain_days,snow_days,high_wind_days,low_visibility_days,cloudy_days
1979-04,Los Angeles,34.054908,-118.242643,63.44056944,,53.28783333,62.88752778,60.79983333,65.52183333,1014.2625,,,72.04305556,4.283388889,177.1347222,,0.136,,,,28.14027778,804,Clouds,overcast clouds,04d,0,0,0,0,0,0,0
1979-04,Palm Springs,33.830296,-116.545292,67.45803324,9931.623932,43.8533795,66.05029086,64.76069252,70.91537396,1012.394737,,,48.3033241,6.246038781,239.4972299,29.95363636,0.13,,,,24.04293629,803,Clouds,broken clouds,04d,0,0,0,0,0,0,0
1979-04,Riverside,33.980601,-117.375494,59.65516667,,49.478375,58.84590278,58.02354167,61.17983333,1014.118056,,,71.95555556,3.175388889,175.7041667,,0.1708695652,,,,32.06388889,804,Clouds,overcast clouds,04d,0,0,0,0,0,0,0
1979-04,San Francisco,37.774929,-122.419415,55.81573611,,50.12363889,54.51747222,54.57591667,57.122,1017.747222,,,81.78055556,10.51515278,267.2541667,,0.3071111111,,,,47.39305556,800,Clear,sky is clear,01d,0,0,0,0,1,0,0
1979-04,South Lake Tahoe,38.939926,-119.977187,36.91627211,9526.530612,28.03141497,34.01903401,35.15865306,38.62046259,1016.412245,,,71.28163265,4.932068027,194.6761905,24.30684211,0.3535294118,,0.3998591549,,54.80408163,801,Clouds,few clouds,02d,0,0,0,0,0,0,0
1979-05,Eureka,40.802071,-124.163673,54.37793011,9660.176991,50.29180108,53.32572581,51.72061828,57.23125,1016.924731,,,86.40053763,10.63768817,267.8373656,,0.9585849057,,,,51.37903226,804,Clouds,overcast clouds,04d,0,0,0,0,1,0,0
1979-05,Fresno,36.737798,-119.787125,72.99826613,10000.0,50.11693548,71.79385753,71.50326613,74.36627688,1011.615591,,,48.29973118,6.291155914,258.5846774,31.898,0.124,,,,17.18817204,801,Clouds,few clouds,02d,0,0,0,0,0,0,0
1979-05,Los Angeles,34.054908,-118.242643,68.13599462,,55.46047043,67.74174731,65.01754032,70.72018817,1012.763441,,,68.27956989,4.772567204,187.7069892,,0.1222222222,,,,32.73655914,801,Clouds,few clouds,02d,0,0,0,0,1,0,0
1979-05,Palm Springs,33.830296,-116.545292,73.86569892,10000.0,47.87909946,72.38069892,71.22326613,77.14866935,1010.741935,,,46.01747312,6.528682796,228.3696237,30.99625,0.24875,,,,24.49596774,801,Clouds,few clouds,02d,0,0,0,0,0,0,0
1979-05,Riverside,33.980601,-117.375494,64.04064516,,51.70508065,63.28514785,62.51680108,65.50301075,1012.584677,,,68.32123656,3.626075269,204.922043,,0.2251851852,,,,33.33602151,803,Clouds,broken clouds,04d,0,0,0,0,0,0,0
1979-05,San Francisco,37.774929,-122.419415,60.65728495,,54.16094086,60.12592742,59.28383065,62.01114247,1014.267473,,,80.67473118,9.241129032,266.1626344,,0.4347826087,,,,38.88575269,800,Clear,sky is clear,01d,0,0,0,0,0,0,0
1979-05,South Lake Tahoe,38.939926,-119.977187,46.80066138,9056.880734,33.62550265,44.32494709,45.35066138,48.28970899,1014.645503,,,63.61640212,4.998558201,176.9616402,29.35030303,0.3427586207,,0.5837931034,,31.20634921,803,Clouds,broken clouds,04d,0,0,0,0,0,0,0
1979-06,Eureka,40.802071,-124.163673,55.94877778,8903.571429,52.11526389,55.30172222,52.86958333,59.49675,1018.880556,,,87.42361111,9.060333333,282.6736111,,0.2311764706,,,,48.92638889,801,Clouds,few clouds,02d,0,0,0,0,0,0,0
1979-06,Fresno,36.737798,-119.787125,78.40263523,9983.739837,49.31871012,76.9657975,77.10797503,79.61507628,1012.259362,,,39.06518724,6.748599168,267.8280166,25.20333333,,,,,9.524271845,800,Clear,sky is clear,01d,0,0,0,0,0,0,0
1979-06,Los Angeles,34.054908,-118.242643,76.54801389,,59.69140278,76.72081944,72.78308333,79.57652778,1012.631944,,,61.37916667,4.484625,179.3486111,,,,,,21.16388889,800,Clear,sky is clear,01d,0,0,0,0,0,0,0
1979-06,Palm Springs,33.830296,-116.545292,84.438,10000.0,48.78830556,82.60727778,81.94256944,87.66406944,1011.115278,,,34.20972222,5.892652778,227.2208333,37.22714286,0.38,,,,13.71388889,800,Clear,sky is clear,01d,0,0,0,0,0,0,0
1979-06,Riverside,33.980601,-117.375494,73.49298611,,54.31265278,72.78945833,72.05541667,74.89976389,1012.605556,,,56.60277778,3.418694444,196.9,,0.19,,,,17.89305556,800,Clear,sky is clear,01d,0,0,0,0,0,0,0
1979-06,San Francisco,37.774929,-122.419415,63.23423611,,55.30373611,62.87213889,61.71019444,64.75568056,1015.520833,,,77.59583333,10.62880556,269.3597222,,,,,,30.69166667,800,Clear,sky is clear,01d,0,0,0,0,1,0,0
1979-06,South Lake Tahoe,38.939926,-119.977187,56.64134349,10000.0,32.6051662,54.70753463,55.26819945,57.94702216,1015.993075,,,45.06094183,5.036634349,203.8462604,26.39578947,0.2553846154,,0.145,,15.00277008,800,Clear,sky is clear,01d,0,0,0,0,0,0,0
1979-07,Eureka,40.802071,-124.163673,58.95655914,8250.0,55.63521505,58.73858871,55.65791667,62.75598118,1016.209677,,,89.06854839,7.858185484,278.7822581,,0.7276470588,,,,45.96102151,803,Clouds,broken clouds,04d,1,0,0,0,0,0,0
1979-07,Fresno,36.737798,-119.787125,80.89975806,9880.97561,55.48114247,80.51803763,79.98770161,81.86905914,1011.038978,,,44.18951613,5.824112903,268.8306452,24.05,,,,,12.47580645,800,Clear,sky is clear,01d,0,0,0,0,0,0,0
1979-07,Los Angeles,34.054908,-118.242643,79.25647849,,65.45302419,81.11448925,74.70442204,82.70725806,1012.125,,,65.29301075,4.351263441,193.4475806,,,,,,16.97983871,800,Clear,sky is clear,01d,1,0,0,0,0,0,0
1979-07,Palm Springs,33.830296,-116.545292,88.02673387,10000.0,55.36688172,87.26259409,85.43540323,91.51104839,1010.626344,,,37.52822581,4.792083333,229.6075269,28.63,0.741,,,,11.27419355,800,Clear,sky is clear,01d,0,0,0,0,0,0,0
1979-07,Riverside,33.980601,-117.375494,76.69465054,,60.50959677,76.87889785,75.1297043,78.20177419,1012.075269,,,60.45833333,3.092110215,220.3817204,,0.81875,,,,12.5483871,800,Clear,sky is clear,01d,0,0,0,0,0,0,0
1979-07,San Francisco,37.774929,-122.419415,64.17646505,,58.81038978,64.27034946,62.84751344,65.47930108,1014.197581,,,83.66935484,8.326008065,260.6975806,,,,,,49.40456989,800,Clear,sky is clear,01d,0,0,0,0,0,0,0
1979-07,South Lake Tahoe,38.939926,-119.977187,62.7436255,8912.0,41.40423639,61.37001328,61.25270916,64.15298805,1015.15405,,,52.21646746,4.098711819,214.0225764,25.15636364,0.7425531915,,,,22.83798141,800,Clear,sky is clear,01d,0,0,0,0,0,0,0
1979-08,Eureka,40.802071,-124.163673,59.52346774,9125.423729,56.34998656,59.3859543,57.00727151,62.2865457,1015.78629,,,89.57258065,6.767258065,265.8776882,,0.199375,,,,50.41801075,701,Mist,mist,50d,1,0,0,0,0,0,0
1979-08,Fresno,36.737798,-119.787125,78.81755376,10000.0,55.76504032,78.29650538,78.0147043,79.68348118,1010.72043,,,47.3938172,5.779798387,284.2486559,,,,,,16.88575269,800,Clear,sky is clear,01d,0,0,0,0,0,0,0
1979-08,Los Angeles,34.054908,-118.242643,78.6706586,,65.87817204,80.22401882,74.80576613,81.49102151,1011.561828,,,67.35887097,4.082123656,187.9959677,,,,,,23.16532258,800,Clear,sky is clear,01d,1,0,0,0,0,0,0
1979-08,Palm Springs,33.830296,-116.545292,85.76508065,10000.0,58.01240591,85.47033602,83.13534946,89.09051075,1010.373656,,,43.20430108,5.03719086,225.8736559,36.69,1.11625,,,,19.66129032,800,Clear,sky is clear,01d,0,0,1,0,0,0,0
1979-08,Riverside,33.980601,-117.375494,75.75466398,,60.79439516,75.9449328,74.34123656,77.12022849,1011.629032,,,62.51344086,2.966357527,215.0846774,,0.2,,,,22.11693548,800,Clear,sky is clear,01d,0,0,0,0,0,0,0
1979-08,San Francisco,37.774929,-122.419415,64.52638441,,59.57163978,64.65604839,63.30795699,65.79165323,1013.637097,,,84.54032258,9.681895161,267.4206989,,,,,,41.9516129,801,Clouds,few clouds,02d,0,0,0,0,0,0,0
1979-08,South Lake Tahoe,38.939926,-119.977187,60.57239247,10000.0,41.28767473,59.10745968,59.08241935,62.01840054,1014.004032,,,54.76747312,4.498252688,217.4489247,22.66833333,0.4827777778,,,,28.09005376,800,Clear,sky is clear,01d,0,0,0,0,0,0,0
1979-09,Eureka,40.802071,-124.163673,62.43081944,9350.980392,58.42506944,62.48751389,59.97145833,65.09020833,1014.097222,,,87.38472222,7.197111111,218.6666667,,0.3295918367,,,,40.26527778,801,Clouds,few clouds,02d,1,0,0,0,0,0,0
1979-09,Fresno,36.737798,-119.787125,77.97856944,9971.428571,53.52359722,77.13997222,77.05202778,78.91180556,1010.018056,,,44.80694444,4.811402778,259.7666667,,,,,,5.631944444,800,Clear,sky is clear,01d,0,0,0,0,0,0,0
1979-09,Los Angeles,34.054908,-118.242643,82.42481944,,64.66269444,84.09808333,78.43679167,85.45263889,1009.502778,,,58.89444444,3.694986111,180.6916667,,,,,,12.0125,800,Clear,sky is clear,01d,1,0,0,0,0,0,0
1979-09,Palm Springs,33.830296,-116.545292,87.42404167,10000.0,53.75011111,86.08283333,84.7215,91.47295833,1009.598611,,,34.62361111,4.296486111,223.7194444,25.725,0.735,,,,11.92222222,800,Clear,sky is clear,01d,0,0,0,0,0,0,0
